image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Tunis_A2,3072,2048,1,728,1785,1.0
Box1_LongI-1_Tunis_A2,3072,2048,2,803,1745,1.0
Box1_LongI-1_Tunis_A2,3072,2048,3,892,1734,1.0
Box1_LongI-1_Tunis_A2,3072,2048,4,965,1677,1.0
Box1_LongI-1_Tunis_A2,3072,2048,5,1042,1623,1.0
Box1_LongI-1_Tunis_A2,3072,2048,6,1129,1595,1.0
Box1_LongI-1_Tunis_A2,3072,2048,7,1197,1569,1.0
Box1_LongI-1_Tunis_A2,3072,2048,8,571,1738,1.0
Box1_LongI-1_Tunis_A2,3072,2048,9,663,1710,1.0
Box1_LongI-1_Tunis_A2,3072,2048,10,749,1677,1.0
Box1_LongI-1_Tunis_A2,3072,2048,11,841,1649,1.0
Box1_LongI-1_Tunis_A2,3072,2048,12,906,1616,1.0
Box1_LongI-1_Tunis_A2,3072,2048,13,993,1562,1.0
Box1_LongI-1_Tunis_A2,3072,2048,14,1063,1513,1.0
Box1_LongI-1_Tunis_A2,3072,2048,15,1152,1485,1.0
Box1_LongI-1_Tunis_A2,3072,2048,16,1305,1473,1.0
Box1_LongI-1_Tunis_A2,3072,2048,17,1366,1410,1.0
Box1_LongI-1_Tunis_A2,3072,2048,18,614,1654,1.0
Box1_LongI-1_Tunis_A2,3072,2048,19,690,1627,1.0
Box1_LongI-1_Tunis_A2,3072,2048,20,767,1588,1.0
Box1_LongI-1_Tunis_A2,3072,2048,21,859,1573,1.0
Box1_LongI-1_Tunis_A2,3072,2048,22,916,1508,1.0
Box1_LongI-1_Tunis_A2,3072,2048,23,976,1471,1.0
Box1_LongI-1_Tunis_A2,3072,2048,24,1104,1439,1.0
Box1_LongI-1_Tunis_A2,3072,2048,25,1183,1415,1.0
Box1_LongI-1_Tunis_A2,3072,2048,26,1283,1400,1.0
Box1_LongI-1_Tunis_A2,3072,2048,27,1343,1334,1.0
Box1_LongI-1_Tunis_A2,3072,2048,28,1443,1297,1.0
Box1_LongI-1_Tunis_A2,3072,2048,29,617,1554,1.0
Box1_LongI-1_Tunis_A2,3072,2048,30,694,1523,1.0
Box1_LongI-1_Tunis_A2,3072,2048,31,781,1512,1.0
Box1_LongI-1_Tunis_A2,3072,2048,32,865,1459,1.0
Box1_LongI-1_Tunis_A2,3072,2048,33,921,1423,1.0
Box1_LongI-1_Tunis_A2,3072,2048,34,992,1388,1.0
Box1_LongI-1_Tunis_A2,3072,2048,35,1100,1358,1.0
Box1_LongI-1_Tunis_A2,3072,2048,36,1177,1334,1.0
Box1_LongI-1_Tunis_A2,3072,2048,37,1266,1329,1.0
Box1_LongI-1_Tunis_A2,3072,2048,38,1246,1275,1.0
Box1_LongI-1_Tunis_A2,3072,2048,39,1323,1221,1.0
Box1_LongI-1_Tunis_A2,3072,2048,40,1406,1217,1.0
Box1_LongI-1_Tunis_A2,3072,2048,41,1398,1150,1.0
Box1_LongI-1_Tunis_A2,3072,2048,42,1454,1147,1.0
